"","title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","characteristics_ch1.1","molecule_ch1","extract_protocol_ch1","extract_protocol_ch1.1","taxid_ch1","description","data_processing","data_processing.1","data_processing.2","data_processing.3","data_processing.4","data_processing.5","data_processing.6","platform_id","contact_name","contact_email","contact_institute","contact_address","contact_city","contact_state","contact_zip/postal_code","contact_country","data_row_count","instrument_model","library_selection","library_source","library_strategy","relation","relation.1","supplementary_file_1","tissue:ch1","treatment:ch1"
"GSM6482931","ACL non-injured quadricep biopsy M02NR","GSM6482931","Public on Jan 11 2023","Aug 19 2022","Jan 11 2023","SRA","1","Skeletal muscle","Homo sapiens","tissue: Skeletal muscle","treatment: ACL non-injured quadricep biopsy","total RNA","Human quadricep RNA was isolated using TRIzol and the Zymo MicroPrep Kit and prepared for RNA-sequencing","Conducted at NovoGene","9606","ACL non-injured quadricep biopsy","Sequenced reads were trimmed from the 3' end based on quality score with a minumum Phred score of 20 and a minumum read length of 25 bp","Trimmed reads were alligned to the hg19 reference genome using STAR 2.7.8a aligner with default parameters.","Aligned reads were quantified to the hg19 reference assembly with requrement of junction reads to match introns and strict paired-end compatibility.  Quantified reads went through a noise reduction filter with maximum feature exclusion set less than or equal to 10.","Filtered counts were normalized per million and tested for statistical significance using DESeq2","All steps were performed using the Partek® Flow® Software.","Assembly: hg19","Supplementary files format and content: tab-delimited text files include raw counts for each sample","GPL20301","Alexander,Romano,Keeble","arke243@uky.edu","University of Kentucky","900 S Limestone st","Lexington","KY","40536","USA","0","Illumina HiSeq 4000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN30416826","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX17156398","NONE","Skeletal muscle","ACL non-injured quadricep biopsy"
"GSM6482932","ACL injured quadricep biopsy M02R","GSM6482932","Public on Jan 11 2023","Aug 19 2022","Jan 11 2023","SRA","1","Skeletal muscle","Homo sapiens","tissue: Skeletal muscle","treatment: ACL injured quadricep biopsy","total RNA","Human quadricep RNA was isolated using TRIzol and the Zymo MicroPrep Kit and prepared for RNA-sequencing","Conducted at NovoGene","9606","ACL injured quadricep biopsy","Sequenced reads were trimmed from the 3' end based on quality score with a minumum Phred score of 20 and a minumum read length of 25 bp","Trimmed reads were alligned to the hg19 reference genome using STAR 2.7.8a aligner with default parameters.","Aligned reads were quantified to the hg19 reference assembly with requrement of junction reads to match introns and strict paired-end compatibility.  Quantified reads went through a noise reduction filter with maximum feature exclusion set less than or equal to 10.","Filtered counts were normalized per million and tested for statistical significance using DESeq2","All steps were performed using the Partek® Flow® Software.","Assembly: hg19","Supplementary files format and content: tab-delimited text files include raw counts for each sample","GPL20301","Alexander,Romano,Keeble","arke243@uky.edu","University of Kentucky","900 S Limestone st","Lexington","KY","40536","USA","0","Illumina HiSeq 4000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN30416825","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX17156399","NONE","Skeletal muscle","ACL injured quadricep biopsy"
"GSM6482933","ACL non-injured quadricep biopsy M04NR","GSM6482933","Public on Jan 11 2023","Aug 19 2022","Jan 11 2023","SRA","1","Skeletal muscle","Homo sapiens","tissue: Skeletal muscle","treatment: ACL non-injured quadricep biopsy","total RNA","Human quadricep RNA was isolated using TRIzol and the Zymo MicroPrep Kit and prepared for RNA-sequencing","Conducted at NovoGene","9606","ACL non-injured quadricep biopsy","Sequenced reads were trimmed from the 3' end based on quality score with a minumum Phred score of 20 and a minumum read length of 25 bp","Trimmed reads were alligned to the hg19 reference genome using STAR 2.7.8a aligner with default parameters.","Aligned reads were quantified to the hg19 reference assembly with requrement of junction reads to match introns and strict paired-end compatibility.  Quantified reads went through a noise reduction filter with maximum feature exclusion set less than or equal to 10.","Filtered counts were normalized per million and tested for statistical significance using DESeq2","All steps were performed using the Partek® Flow® Software.","Assembly: hg19","Supplementary files format and content: tab-delimited text files include raw counts for each sample","GPL20301","Alexander,Romano,Keeble","arke243@uky.edu","University of Kentucky","900 S Limestone st","Lexington","KY","40536","USA","0","Illumina HiSeq 4000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN30416824","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX17156400","NONE","Skeletal muscle","ACL non-injured quadricep biopsy"
"GSM6482934","ACL injured quadricep biopsy M04R","GSM6482934","Public on Jan 11 2023","Aug 19 2022","Jan 11 2023","SRA","1","Skeletal muscle","Homo sapiens","tissue: Skeletal muscle","treatment: ACL injured quadricep biopsy","total RNA","Human quadricep RNA was isolated using TRIzol and the Zymo MicroPrep Kit and prepared for RNA-sequencing","Conducted at NovoGene","9606","ACL injured quadricep biopsy","Sequenced reads were trimmed from the 3' end based on quality score with a minumum Phred score of 20 and a minumum read length of 25 bp","Trimmed reads were alligned to the hg19 reference genome using STAR 2.7.8a aligner with default parameters.","Aligned reads were quantified to the hg19 reference assembly with requrement of junction reads to match introns and strict paired-end compatibility.  Quantified reads went through a noise reduction filter with maximum feature exclusion set less than or equal to 10.","Filtered counts were normalized per million and tested for statistical significance using DESeq2","All steps were performed using the Partek® Flow® Software.","Assembly: hg19","Supplementary files format and content: tab-delimited text files include raw counts for each sample","GPL20301","Alexander,Romano,Keeble","arke243@uky.edu","University of Kentucky","900 S Limestone st","Lexington","KY","40536","USA","0","Illumina HiSeq 4000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN30416823","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX17156401","NONE","Skeletal muscle","ACL injured quadricep biopsy"
"GSM6482935","ACL non-injured quadricep biopsy M05NR","GSM6482935","Public on Jan 11 2023","Aug 19 2022","Jan 11 2023","SRA","1","Skeletal muscle","Homo sapiens","tissue: Skeletal muscle","treatment: ACL non-injured quadricep biopsy","total RNA","Human quadricep RNA was isolated using TRIzol and the Zymo MicroPrep Kit and prepared for RNA-sequencing","Conducted at NovoGene","9606","ACL non-injured quadricep biopsy","Sequenced reads were trimmed from the 3' end based on quality score with a minumum Phred score of 20 and a minumum read length of 25 bp","Trimmed reads were alligned to the hg19 reference genome using STAR 2.7.8a aligner with default parameters.","Aligned reads were quantified to the hg19 reference assembly with requrement of junction reads to match introns and strict paired-end compatibility.  Quantified reads went through a noise reduction filter with maximum feature exclusion set less than or equal to 10.","Filtered counts were normalized per million and tested for statistical significance using DESeq2","All steps were performed using the Partek® Flow® Software.","Assembly: hg19","Supplementary files format and content: tab-delimited text files include raw counts for each sample","GPL20301","Alexander,Romano,Keeble","arke243@uky.edu","University of Kentucky","900 S Limestone st","Lexington","KY","40536","USA","0","Illumina HiSeq 4000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN30416822","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX17156402","NONE","Skeletal muscle","ACL non-injured quadricep biopsy"
"GSM6482936","ACL injured quadricep biopsy M05R","GSM6482936","Public on Jan 11 2023","Aug 19 2022","Jan 11 2023","SRA","1","Skeletal muscle","Homo sapiens","tissue: Skeletal muscle","treatment: ACL injured quadricep biopsy","total RNA","Human quadricep RNA was isolated using TRIzol and the Zymo MicroPrep Kit and prepared for RNA-sequencing","Conducted at NovoGene","9606","ACL injured quadricep biopsy","Sequenced reads were trimmed from the 3' end based on quality score with a minumum Phred score of 20 and a minumum read length of 25 bp","Trimmed reads were alligned to the hg19 reference genome using STAR 2.7.8a aligner with default parameters.","Aligned reads were quantified to the hg19 reference assembly with requrement of junction reads to match introns and strict paired-end compatibility.  Quantified reads went through a noise reduction filter with maximum feature exclusion set less than or equal to 10.","Filtered counts were normalized per million and tested for statistical significance using DESeq2","All steps were performed using the Partek® Flow® Software.","Assembly: hg19","Supplementary files format and content: tab-delimited text files include raw counts for each sample","GPL20301","Alexander,Romano,Keeble","arke243@uky.edu","University of Kentucky","900 S Limestone st","Lexington","KY","40536","USA","0","Illumina HiSeq 4000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN30416821","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX17156403","NONE","Skeletal muscle","ACL injured quadricep biopsy"
"GSM6482937","ACL non-injured quadricep biopsy M07NR_b","GSM6482937","Public on Jan 11 2023","Aug 19 2022","Jan 11 2023","SRA","1","Skeletal muscle","Homo sapiens","tissue: Skeletal muscle","treatment: ACL non-injured quadricep biopsy","total RNA","Human quadricep RNA was isolated using TRIzol and the Zymo MicroPrep Kit and prepared for RNA-sequencing","Conducted at NovoGene","9606","ACL non-injured quadricep biopsy","Sequenced reads were trimmed from the 3' end based on quality score with a minumum Phred score of 20 and a minumum read length of 25 bp","Trimmed reads were alligned to the hg19 reference genome using STAR 2.7.8a aligner with default parameters.","Aligned reads were quantified to the hg19 reference assembly with requrement of junction reads to match introns and strict paired-end compatibility.  Quantified reads went through a noise reduction filter with maximum feature exclusion set less than or equal to 10.","Filtered counts were normalized per million and tested for statistical significance using DESeq2","All steps were performed using the Partek® Flow® Software.","Assembly: hg19","Supplementary files format and content: tab-delimited text files include raw counts for each sample","GPL20301","Alexander,Romano,Keeble","arke243@uky.edu","University of Kentucky","900 S Limestone st","Lexington","KY","40536","USA","0","Illumina HiSeq 4000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN30416820","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX17156404","NONE","Skeletal muscle","ACL non-injured quadricep biopsy"
"GSM6482938","ACL injured quadricep biopsy M07R_b","GSM6482938","Public on Jan 11 2023","Aug 19 2022","Jan 11 2023","SRA","1","Skeletal muscle","Homo sapiens","tissue: Skeletal muscle","treatment: ACL injured quadricep biopsy","total RNA","Human quadricep RNA was isolated using TRIzol and the Zymo MicroPrep Kit and prepared for RNA-sequencing","Conducted at NovoGene","9606","ACL injured quadricep biopsy","Sequenced reads were trimmed from the 3' end based on quality score with a minumum Phred score of 20 and a minumum read length of 25 bp","Trimmed reads were alligned to the hg19 reference genome using STAR 2.7.8a aligner with default parameters.","Aligned reads were quantified to the hg19 reference assembly with requrement of junction reads to match introns and strict paired-end compatibility.  Quantified reads went through a noise reduction filter with maximum feature exclusion set less than or equal to 10.","Filtered counts were normalized per million and tested for statistical significance using DESeq2","All steps were performed using the Partek® Flow® Software.","Assembly: hg19","Supplementary files format and content: tab-delimited text files include raw counts for each sample","GPL20301","Alexander,Romano,Keeble","arke243@uky.edu","University of Kentucky","900 S Limestone st","Lexington","KY","40536","USA","0","Illumina HiSeq 4000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN30416819","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX17156405","NONE","Skeletal muscle","ACL injured quadricep biopsy"
"GSM6482939","ACL non-injured quadricep biopsy M08NR_b","GSM6482939","Public on Jan 11 2023","Aug 19 2022","Jan 11 2023","SRA","1","Skeletal muscle","Homo sapiens","tissue: Skeletal muscle","treatment: ACL non-injured quadricep biopsy","total RNA","Human quadricep RNA was isolated using TRIzol and the Zymo MicroPrep Kit and prepared for RNA-sequencing","Conducted at NovoGene","9606","ACL non-injured quadricep biopsy","Sequenced reads were trimmed from the 3' end based on quality score with a minumum Phred score of 20 and a minumum read length of 25 bp","Trimmed reads were alligned to the hg19 reference genome using STAR 2.7.8a aligner with default parameters.","Aligned reads were quantified to the hg19 reference assembly with requrement of junction reads to match introns and strict paired-end compatibility.  Quantified reads went through a noise reduction filter with maximum feature exclusion set less than or equal to 10.","Filtered counts were normalized per million and tested for statistical significance using DESeq2","All steps were performed using the Partek® Flow® Software.","Assembly: hg19","Supplementary files format and content: tab-delimited text files include raw counts for each sample","GPL20301","Alexander,Romano,Keeble","arke243@uky.edu","University of Kentucky","900 S Limestone st","Lexington","KY","40536","USA","0","Illumina HiSeq 4000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN30416818","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX17156406","NONE","Skeletal muscle","ACL non-injured quadricep biopsy"
"GSM6482940","ACL injured quadricep biopsy M08R_b","GSM6482940","Public on Jan 11 2023","Aug 19 2022","Jan 11 2023","SRA","1","Skeletal muscle","Homo sapiens","tissue: Skeletal muscle","treatment: ACL injured quadricep biopsy","total RNA","Human quadricep RNA was isolated using TRIzol and the Zymo MicroPrep Kit and prepared for RNA-sequencing","Conducted at NovoGene","9606","ACL injured quadricep biopsy","Sequenced reads were trimmed from the 3' end based on quality score with a minumum Phred score of 20 and a minumum read length of 25 bp","Trimmed reads were alligned to the hg19 reference genome using STAR 2.7.8a aligner with default parameters.","Aligned reads were quantified to the hg19 reference assembly with requrement of junction reads to match introns and strict paired-end compatibility.  Quantified reads went through a noise reduction filter with maximum feature exclusion set less than or equal to 10.","Filtered counts were normalized per million and tested for statistical significance using DESeq2","All steps were performed using the Partek® Flow® Software.","Assembly: hg19","Supplementary files format and content: tab-delimited text files include raw counts for each sample","GPL20301","Alexander,Romano,Keeble","arke243@uky.edu","University of Kentucky","900 S Limestone st","Lexington","KY","40536","USA","0","Illumina HiSeq 4000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN30416817","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX17156407","NONE","Skeletal muscle","ACL injured quadricep biopsy"
